program_title,unique_users,content_count,device_name,country_code,product_type
My Little Pony: Friendship is Magic,104,115,ios,se,svod
Lie to Me,103,127,chromecast,dk,svod
Valor,100,110,ios,se,svod
The Backyardigans,100,126,ios,se,svod
Tree Fu Tom,99,116,chromecast,dk,svod
Sofia the First,98,110,ios,se,svod
Adventures of Chuck & Friends,98,116,chromecast,se,svod
Ice Age: Dawn Of The Dinosaurs,96,96,ios,dk,svod
Jigsaw,95,95,ps4xdk,dk,svod
The Emoji Movie,95,95,ios,dk,svod
The Powerpuff Girls,93,132,ios,dk,svod
Hard Knocks,93,101,pcdash,se,svod
Rosewood,93,106,ios,se,svod
Despicable Me 3,92,92,ios,se,svod
Stronger,90,90,atv,dk,svod
Magnum P.I.,90,91,ios,se,svod
Ice Age,86,86,ios,dk,svod
Doc McStuffins,86,100,ios,se,svod
Sportmagasin golf,82,82,ios,se,svod
UFC Main event,82,82,pcdash,se,svod
Cops,82,82,ios,se,svod
Star Wars: The Last Jedi,82,82,pcdash,se,svod
Weeds,80,103,pcdash,se,svod
Thank You for Your Service,79,79,pcdash,dk,svod
Ultimate Spider-Man,79,95,ios,se,svod
Bilprovningen,79,80,ios,se,svod
Kevin Can Wait,77,113,pcdash,dk,svod
NFL Network,77,77,ios,se,svod
Thor: Ragnarok,77,77,androiddash,se,svod
Monky,77,77,atv,se,svod
Teen Titans Go!,76,83,ios,no,svod
"My Little Pony, The Movie",76,76,ios,se,svod
Prison Break Sequel,76,83,pcdash,dk,svod
The Best of Me,76,76,ios,se,svod
Toy Story,76,76,ios,se,svod
Sportmagasin football,75,75,pcdash,dk,svod
Angry Birds Blues,75,141,ps4xdk,se,svod
Little Charmers,72,79,ios,se,svod
"Smurfs, The Lost Village",71,71,ios,se,svod
Blade Runner 2049,70,70,ios,se,svod
Preacher,70,77,pcdash,se,svod
Spider-Man: Homecoming,69,69,ps4xdk,se,svod
Ice Age: The Meltdown,69,69,ios,se,svod
Timeless,69,79,pcdash,se,svod
American Woman,69,77,atv,se,svod
"Ultimate Fighter, The",69,72,atv,se,svod
The Arrangement,68,71,ios,se,svod
American Assassin,67,67,ios,se,svod
Pocahontas,67,67,ios,se,svod
National Treasure,66,66,pcdash,se,svod
National Treasure: Book of Secrets,66,66,atv,se,svod
The Tudors,66,73,ios,dk,svod
Unfabulous,66,72,ios,se,svod
The Simpsons,66,70,ios,se,svod
Mr. Robot,66,71,pcdash,se,svod
Om Nom Stories,65,124,ios,fi,svod
Absentia,65,73,ios,se,svod
Breaking News med Filip & Fredrik,65,65,ios,se,svod
Cam & Leon,64,125,atv,dk,svod
The Magicians,62,67,chromecast,se,svod
Underground,62,67,atv,se,svod
Efterlyst,61,63,atv,se,svod
The Fate of the Furious,61,61,pcdash,se,svod
Toy Story 2,60,60,atv,se,svod
Peppy Pals,60,82,androiddash,se,svod
Pawn Stars,57,57,ios,se,svod
Marvin Marvin,55,69,ios,se,svod
The Nut Job 2: Nutty By Nature,55,55,ios,se,svod
UFC 25 Greatest Fights,55,57,atv,se,svod
Piggy Tales,55,128,ios,se,svod
Cloudy With A Chance Of Meatballs,55,66,ios,dk,svod
Ice Age: Collision Course,54,54,ios,dk,svod
X Company,53,59,atv,se,svod
Haven,53,60,pcdash,se,svod
Bosch,53,60,chromecast,se,svod
Maria Wern,53,55,atv,se,svod
Masterchef - Danmarks Største Madtalenter,53,60,ios,dk,svod
Toy Story 3,53,54,ios,dk,svod
Ballerina,53,53,ios,se,svod
Girls Trip,53,54,ios,dk,svod
Kung Fu Panda: Legends of Awesomeness,53,67,ios,se,svod
Eventyrlig oppussing,51,53,atv,no,svod
Advokaten,51,54,ios,se,svod
Las Vegas Jailhouse,48,49,ios,se,svod
Speechless,48,70,pcdash,dk,svod
Mad Men,47,51,androiddash,se,svod
Pirates of the Caribbean: Dead Men Tell No Tales,47,47,pcdash,se,svod
Thunderbirds Are Go,47,55,ios,se,svod
Parneviks,46,52,ios,se,svod
Rapport,45,45,ios,se,svod
Atlanta,45,49,ios,no,svod
Serialized,44,44,atv,se,svod
Real Housewives of Beverly Hills,44,44,ios,se,svod
Independence Day: Resurgence,43,44,atv,se,svod
Star Wars Rebels,43,56,ios,dk,svod
Wild Card,42,42,ios,dk,svod
Hannah Montana: The Movie,42,42,ios,dk,svod
The Other Woman,42,42,ios,se,svod
X-Men Origins: Wolverine,42,42,ios,se,svod
Graceland,42,46,chromecast,se,svod
Målklubben,41,41,pcdash,se,svod
Scream Queens,41,45,pcdash,se,svod
Divaer i junglen,41,45,ios,dk,svod
Arne Dahl,41,43,androiddash,se,svod
Snow White and the Seven Dwarfs,40,40,ios,se,svod
Killer Elite,40,40,ios,dk,svod
Conviction,40,48,ios,dk,svod
Allsvenskan: Hammarby - IFK Göteborg,39,39,ios,se,svod
Aber Bergen,39,44,ios,no,svod
Premier League,38,38,ios,se,svod
Alex,38,43,pcdash,se,svod
Sex and the City,38,38,atv,se,svod
Hitman,38,38,atv,dk,svod
Boligkøb i Blinde,38,40,ios,dk,svod
Fast N' Loud,38,40,ios,se,svod
The Blacklist: Redemption,37,39,atv,dk,svod
Counterpart,37,39,ios,se,svod
Salem,37,39,ios,se,svod
Dr. Phil,36,37,ios,no,svod
Babar and the Adventures of Badou,36,43,ios,se,svod
Twilight,36,36,pcdash,se,svod
Enemy of the state,36,36,ios,se,svod
Clarence,35,47,ios,dk,svod
Before We Go,35,35,ios,dk,svod
Besat af Bad Boys,35,41,ios,dk,svod
Million Dollar Listing New York,35,35,ios,se,svod
X-Men: Apocalypse,35,35,pcdash,dk,svod
Ride,35,46,ios,dk,svod
Med Kniven for Struben,35,37,ios,dk,svod
Rig 45,35,36,atv,se,svod
Lokala nyheter,35,35,ios,se,svod
Dagens mand,35,40,ios,dk,svod
The Heroic Quest of the Valiant Prince Ivandoe,34,38,atv,se,svod
Okkupert,34,35,ios,se,svod
Passengers,33,33,pcdash,dk,svod
Penny Dreadful,32,33,chromecast,se,svod
Freaky Friday,32,32,androiddash,se,svod
Swedish Dicks,32,35,ios,se,svod
Shot Caller,31,31,ios,se,svod
Wayward Pines,31,36,pcdash,se,svod
StartUp,30,34,chromecast,se,svod
The Late Late Show with James Corden,30,31,pcdash,dk,svod
Avengers: Infinity War,29,29,pcdash,no,tvod
Mozart in the Jungle,29,38,pchls,se,svod
Deep,29,29,ios,dk,svod
Solo: A Star Wars Story,29,29,pcdash,fi,tvod
Lilo & Stitch,29,29,chromecast,dk,svod
Eliteserien: Tromsø - Brann,29,30,ios,no,svod
Ligue 2 live,29,29,ios,se,svod
Morgonstudion,29,29,ios,se,svod
Hassel,29,30,ios,se,svod
High School Musical 3: Senior Year,29,29,ios,dk,svod
American Made,29,29,ios,dk,svod
TV 2 30 år: Lykkehjulet,28,28,ios,dk,svod
X-Men,28,28,chromecast,se,svod
D2: The Mighty Ducks,28,28,ios,se,svod
Mountain Men,28,28,androiddash,se,svod
Gränsbevakarna Australien,28,28,ios,se,svod
11.22.63,28,29,pcdash,se,svod
Kulturnyheterna,28,28,ios,se,svod
Harvey Beaks,28,35,ios,se,svod
Ullared,28,28,ios,se,svod
Rock Dog,28,28,ios,dk,svod
The Dark Tower,27,27,ios,se,svod
Morgan,27,27,ios,dk,svod
The Twilight Saga: Breaking Dawn - Part 2,27,27,pcdash,se,svod
Mighty Magiswords,27,35,ios,se,svod
British League Speedway Live,27,27,atv,se,svod
Fresh Off the Boat,27,34,ios,se,svod
Are You the One? - Sverige,27,36,pcdash,se,svod
Danske Hollywoodfruer,27,27,ios,dk,svod
Marvel's Agent Carter,27,35,atv,se,svod
